6729,11763,14114,19240,19115,23723,27924,33615,37473,35438,39660,11016,13389,34209,37152,35765,24980,21267,21391,15790,13630,10962,18962,21225,24997,26691,29747,34786,17170,37543,43426,40261,31319,21120,17733,13202,10257,17701,18227,15512,9236,13856,13067,11867,12197,19089,23108,25264,35717,28015,27145,27236,34988,41665,42253,35721,31664,26109,21290,16808,9404,12734,13294,14072,14902,17302,15758,17356,19774,23664,32108,12740,17922,25798,20274,17472,13846,15656,16198,13840,11611,10481,18000,21870,21362,19670,20047,22110,13581,19844,18680,19096,15820,14043,13806,10537,8752,10258,10904,8848,6834,10374,10254,10986,13356,19604,21436,20866,21962,17742,17722,17994,17862,20572,17638,15014,15932,14974,13180,10678
6391,11337,14753,19568,29245,24219,27868,33718,35078,21484,26200,11303,23437,21403,43485,40787,27753,33708,21984,16687,12046,13137,18118,21367,20461,29351,32514,34793,43469,39448,43713,42973,34312,33504,21032,15575,20084,21515,18836,18572,6863,10883,9435,9724,12375,19496,26423,39267,31523,33549,44891,42017,44029,45612,40092,38592,33848,24553,23009,19739,8980,12452,13890,15204,18356,15432,14266,16000,18612,18646,26490,14236,25346,20966,19142,16478,13636,18130,15296,13446,10558,10526,15103,17460,16078,20156,19965,21752,23187,22169,18916,18673,17238,16088,14482,10558,13142,12064,10051,9775,6978,11850,10338,10546,12726,19206,21914,25126,19886,19802,20212,19866,19418,19280,15244,15242,14350,12850,12718,10914
8626,10098,14839,20690,19152,25142,31880,37963,37957,39419,29515,11372,42228,36391,33955,38928,31164,27229,23591,19722,14126,29514,21726,24142,43481,32916,33076,38905,40101,38095,39772,37804,35647,35700,25093,15096,12441,18786,18039,20955,11187,12970,14770,14368,17372,21886,30217,38500,32504,26055,30856,44375,42765,45623,39434,38624,45910,24181,21953,18643,8674,9664,12042,12854,13234,16084,14848,15686,17818,20862,23234,10008,26928,21692,18236,15720,14466,16448,14568,13782,10661,21326,16953,18753,26058,20492,17895,17523,18428,17060,15921,16457,16489,15727,15194,10248,8553,10444,10524,10062,6302,8106,10794,12074,15172,18606,21840,20848,18510,15026,17498,17766,16962,15984,15466,13960,15252,11036,9638,8818
20141,15389,21983,27061,32496,20558,28027,42436,26948,42337,30557,36994,27384,20834,45267,22561,25324,21312,34428,28212,32007,8345,27814,13690,15787,18677,40946,40204,30192,41208,42501,43369,39762,34851,27630,24669,24183,23184,23728,15042,21964,9666,18316,9860,21347,25442,32034,42443,46048,43362,43005,42961,45099,29620,43478,28269,36682,31956,28361,19717,11954,13102,16232,18116,20782,16356,18172,23234,19334,24048,26448,26726,24174,19592,22472,20082,18142,15932,19100,18074,12445,9252,23390,15819,17270,18674,25973,24460,19656,17963,17369,16849,17341,16485,16148,13580,13019,13315,13860,10803,7424,5886,12754,6690,18936,21572,22322,21368,20932,19680,18924,17274,18802,16556,19306,17584,16730,16150,13890,11136
7781,13106,16717,21634,23797,28436,31215,39508,40753,36836,25434,10359,22972,37196,43202,40804,31572,28705,25307,24917,15925,16937,17699,21008,27277,34130,35565,38950,37945,41566,40025,40770,35124,34246,22865,20010,18396,19852,19551,17572,12137,26352,14613,13335,13371,20732,21107,34199,35492,30932,30544,40786,44592,48024,45551,42393,33778,27718,24478,18642,9382,10954,12154,14116,15930,17752,16152,15336,18696,21962,22604,10078,21796,23108,19466,17076,15920,16484,16148,15922,11615,14558,16608,18366,20161,20825,18519,19843,19954,19321,17255,17863,16365,15450,13540,12841,11422,9648,9627,8723,7556,14604,9856,11292,12224,18294,19022,21080,19220,17362,18632,18316,19100,16908,14660,14376,14670,12728,12250,10114
9646,15201,19721,25859,15327,26098,30297,34100,35899,36481,26944,21420,24298,35387,41272,34708,36679,35230,29963,18250,10188,9223,44008,9600,31478,26843,34811,35660,37516,37418,40706,37588,36028,34510,33845,25166,21411,21209,17616,22220,7031,11465,11918,13112,20049,21412,14697,32613,45276,45104,44278,40771,41397,42457,40904,41296,33966,19123,22200,17837,10090,11936,14734,16182,10728,15802,14718,17454,18058,21074,24048,21550,20812,23096,20204,16308,17834,18600,18296,12388,8675,8172,23830,10585,22798,17671,21428,20141,20490,18960,17695,18451,17317,15318,16560,16657,14579,12022,10887,9830,8554,7986,8172,9734,17268,18796,15534,21776,22380,20532,20002,18098,16670,16072,16094,14630,13964,10710,11274,8790
9749,12689,14282,18027,24920,26988,35937,34274,40625,36747,21715,12213,24411,35145,36439,35591,31714,30982,25960,24470,9231,13643,16686,18767,25178,28453,35439,36117,37843,41497,46344,39521,34994,34123,19079,15054,17487,19096,20474,19286,7758,14199,13549,14903,18120,25272,32397,37185,45073,41122,41655,39937,38345,36843,39078,39789,32441,29428,18923,20247,10332,11172,12990,15688,17904,16370,15922,18106,19386,22124,20722,11360,22574,23442,20032,17136,15980,16760,16782,17318,8195,12372,15561,14721,17345,18537,20341,20468,20014,18146,17902,17713,17161,16360,15636,12091,12136,12521,13280,11827,5698,8314,8402,10884,15990,20502,22276,23404,22804,20450,19064,17774,16278,15316,16462,16966,14254,13462,11040,9952
8931,13684,14993,21104,21894,36901,36728,38242,38667,34549,27558,11998,15874,29213,38777,36124,30914,31342,25317,18629,13538,16933,20749,38533,24895,26704,25061,35387,38644,37096,42438,38157,36288,33778,19173,18728,19855,17192,18380,16793,9088,13237,16666,13881,15432,21019,26172,28187,35941,40511,28977,46122,45434,48973,46523,41844,32008,28702,24153,19767,9072,11558,13082,14646,14794,19228,18384,16850,18718,23816,24846,11980,19648,24186,18670,16300,14888,16580,15792,14346,11340,16331,17878,28898,18953,17311,16594,20171,19575,17865,17966,16714,16100,15711,13282,12708,12607,10672,10629,9702,9074,7838,10438,10172,14288,19234,20926,19130,21952,21428,18154,19896,20194,18958,16734,14650,14974,13582,12248,10048
9807,15181,22033,26934,32872,28618,37578,36079,38736,35539,27765,68134,26690,36578,39032,35015,36787,36768,31860,25597,10962,13226,11655,15554,34693,36540,24941,37953,37424,40090,39769,38441,35050,31943,30007,24100,20557,19270,15357,17504,10385,10145,11753,18805,34677,10843,23199,44921,39410,38245,39738,35220,33978,35431,35719,35390,34588,34905,29071,22034,10918,14146,17942,20104,22814,17058,20850,21450,21826,24646,25520,20434,26316,26752,22914,22012,21954,20330,20002,17682,9989,12634,13024,16026,29003,27959,17999,24115,20180,18645,17582,18998,17437,17317,17807,17152,14779,12604,12328,11862,11724,7360,8802,15958,26832,15204,21130,26816,22254,20744,18916,18090,16384,15422,14574,16344,16380,16134,14436,11912
7874,13411,15596,20273,25120,25400,32068,39525,40830,35146,23516,12295,22808,31365,39392,37561,29149,28973,31753,18619,14710,17612,20089,24880,23682,34557,33221,37829,39969,41193,39308,35423,36502,35655,22111,15219,21661,17425,21910,21002,9784,12532,13155,12481,15471,21317,25065,40660,37633,44303,37317,43545,44229,45649,45554,43010,31021,27464,23124,18653,7944,10788,12332,13258,14632,14366,14708,15254,16870,20454,21082,11452,19776,20318,17824,14790,14774,14338,15920,12304,10141,13774,17426,19282,16277,19815,16609,18080,18679,17122,15669,15585,15503,13957,14189,10319,12348,9462,10353,8746,7154,6732,8750,9194,12196,17154,18650,20842,18938,18782,17562,17130,17384,16244,15382,13958,13144,11938,10748,8742
