25910;42357;59029;78285;96969;85349;78675;50439;45784;12004;20023;38000;55968;41144;82868;76747;38329;34862;36803;22443;28483;42980;23551;70587;59273;82167;82923;62326;40064;15832;27596;32174;36920;42576;70198;64440;42024;32768;36090;17736;21780;39304;41675;34360;42527;38738;29863;25248;22185;16501;23226;45336;34642;51422;42568;46180;38694;36218;27002;14308
24559;42933;58416;67706;71408;7000;92537;55314;40513;24531;29935;47810;69801;77703;97067;77957;43291;39920;40118;27822;21641;33288;56605;73622;98707;83726;80546;60188;45937;21443;26494;32858;32646;37510;56902;13160;40076;30562;31124;25952;25657;37610;45966;50269;43376;39189;29698;26574;22079;17097;25334;36020;51726;51860;48962;43016;35856;30856;27070;16586
23513;44066;63078;96177;86895;85148;92327;62972;47098;22602;39542;49004;64742;85379;86010;75001;50995;37261;46814;26058;29405;26441;49630;67876;58428;92028;87310;59781;42236;19408;22074;29528;33640;42106;52872;53284;41894;33932;31154;22392;33288;38147;39275;39888;36809;35952;31387;24160;24611;16366;20300;25866;45948;43786;37224;38862;35556;28190;20848;12228
36746;64354;92707;98397;62945;66263;96331;50901;37091;36378;48592;76055;90712;86853;91701;86113;61106;22143;50802;24752;36478;21715;64966;98165;94638;96401;94071;74523;55472;50756;30042;42286;47118;48742;49428;50100;51012;37464;31076;28742;41469;59467;60658;51250;38750;38164;34855;21405;29320;17697;26930;18222;52754;49954;44610;42458;45274;38364;28336;19430
32050;47288;68597;90250;52844;79463;90115;67538;48597;30522;32368;46776;70896;83480;88632;75639;49113;39021;41704;31352;32973;39420;41688;73400;93976;100085;98225;66760;43901;27337;25612;31848;37886;39716;41576;55652;39776;36638;31944;24894;28555;40802;41770;44345;39999;36933;30769;23743;20857;17559;22818;37936;43144;46830;47394;43022;34934;32150;25100;16580
26961;32863;83632;87944;54757;57100;88864;78610;57191;20792;39272;22667;75158;79742;86517;54038;68988;46754;49166;29969;24641;26878;29503;97098;96383;91160;96030;48240;31300;16571;25014;24716;41276;43192;43926;44142;43074;40084;35666;23620;31179;23580;48980;45386;40680;34008;36122;30820;24768;18586;19492;25138;35400;53400;46684;39706;37900;26812;20766;12470
27216;46030;67270;87972;54679;46416;87038;82789;43189;33472;26320;46607;78842;81663;101174;77787;61075;36031;41316;33283;28976;32567;57961;76356;90270;83692;86382;71215;46687;25386;25506;36514;35836;43224;43634;41726;42964;40044;32454;28532;25526;35974;48624;45510;39768;38378;37829;26401;27481;19010;19442;28452;49024;51946;45984;38508;39576;33468;24906;15118
25174;61347;72776;84945;56504;82806;76132;73174;44228;23556;31554;47200;55968;80245;80965;80587;44554;41520;39778;32344;28974;28408;28646;70545;68757;86968;88389;68008;45042;35609;24202;37622;39046;41444;46622;60412;39238;35852;32302;24602;30667;38265;38257;44272;39274;36562;31030;27024;23436;21277;19944;24716;35732;48956;46506;45172;36328;34144;25236;18688
36958;64716;84275;82574;56610;59787;81755;80726;59715;35983;24282;66949;80082;81769;86657;76982;37944;43676;45363;22675;33019;26927;48360;57249;84317;76056;78322;75867;56941;31984;33266;46702;46510;48526;49848;52604;49996;46140;40274;30802;26538;62849;60843;48912;40323;40318;31790;31606;29781;16303;31548;25802;49306;47190;45946;39108;36616;38468;30644;18854
25830;49340;82541;88916;87435;78022;85042;80606;46331;27411;34190;42847;61430;78104;80413;80770;51836;46676;50563;26021;26822;28135;45591;68342;98225;81370;97351;59169;43093;19707;23046;30468;37538;37136;54402;51096;36556;37724;28202;23158;27427;33483;35491;39629;35426;34503;31012;26580;22813;15198;17194;22666;40126;43324;43604;37468;35308;28372;22298;13282
33293;52221;73420;89159;57329;99533;87205;69286;61159;29943;42272;66158;78708;85555;94573;83474;57895;44918;47510;33596;32506;26307;58621;89787;68980;101193;105622;73686;48757;21263;27700;31038;34924;38214;40504;52472;36936;35922;32992;25422;32700;44441;43715;41517;38407;37438;32000;27360;22970;17756;21286;24290;46466;49842;39190;39160;36568;32256;24264;14976
