ID,Prediction
1,65.0
2,71.0
3,53.0
4,72.0
5,63.0
6,70.0
7,56.0
8,52.0
9,56.0
10,48.0
11,30.0
12,54.0
13,62.0
14,40.0
15,31.0
16,60.0
17,32.0
18,69.0
19,81.0
20,80.0
21,81.0
22,28.0
23,66.0
24,89.0
25,61.0
26,48.0
27,71.0
28,18.0
29,24.0
30,33.0
31,68.0
32,33.0
33,19.0
34,28.0
35,23.0
36,63.0
37,77.0
38,75.0
39,65.0
40,81.0
41,49.0
42,64.0
43,82.0
44,42.0
45,60.0
46,57.0
47,46.0
48,34.0
49,27.0
50,65.0
51,28.0
52,72.0
53,22.0
54,52.0
55,28.0
56,83.0
57,71.0
58,83.0
59,20.0
60,57.0
61,65.0
62,80.0
63,45.0
64,62.0
65,16.0
66,38.0
67,33.0
68,29.0
69,74.0
70,76.0
71,83.0
72,74.0
73,15.0
74,21.0
75,74.0
76,71.0
77,49.0
78,64.0
79,64.0
80,36.0
81,68.0
82,72.0
83,87.0
84,39.0
85,31.0
86,83.0
87,29.0
88,50.0
89,32.0
90,75.0
91,27.0
92,63.0
93,47.0
94,24.0
95,66.0
96,84.0
97,63.0
98,85.0
99,57.0
100,46.0
101,49.0
102,50.0
103,45.0
104,97.0
105,28.0
106,37.0
107,81.0
108,30.0
109,29.0
110,62.0
111,35.0
112,30.0
113,20.0
114,73.0
115,88.0
116,40.0
117,71.0
118,70.0
119,40.0
120,23.0
121,32.0
122,23.0
123,37.0
124,33.0
125,67.0
126,31.0
127,41.0
128,48.0
129,36.0
130,81.0
131,25.0
132,39.0
133,22.0
134,28.0
135,28.0
136,15.0
137,78.0
138,82.0
