ID,Prediction
1,53.0
2,59.0
3,51.0
4,61.0
5,57.0
6,58.0
7,55.0
8,52.0
9,56.0
10,53.0
11,45.0
12,53.0
13,58.0
14,49.0
15,47.0
16,56.0
17,46.0
18,61.0
19,62.0
20,63.0
21,59.0
22,46.0
23,57.0
24,62.0
25,57.0
26,53.0
27,60.0
28,42.0
29,44.0
30,48.0
31,60.0
32,48.0
33,41.0
34,46.0
35,44.0
36,55.0
37,61.0
38,61.0
39,56.0
40,59.0
41,52.0
42,57.0
43,63.0
44,51.0
45,55.0
46,56.0
47,51.0
48,48.0
49,43.0
50,54.0
51,45.0
52,61.0
53,44.0
54,54.0
55,46.0
56,64.0
57,58.0
58,61.0
59,42.0
60,52.0
61,56.0
62,61.0
63,51.0
64,54.0
65,42.0
66,49.0
67,47.0
68,46.0
69,60.0
70,61.0
71,62.0
72,61.0
73,39.0
74,44.0
75,61.0
76,59.0
77,52.0
78,57.0
79,57.0
80,48.0
81,58.0
82,61.0
83,62.0
84,50.0
85,47.0
86,64.0
87,45.0
88,52.0
89,48.0
90,60.0
91,45.0
92,57.0
93,53.0
94,42.0
95,58.0
96,63.0
97,56.0
98,62.0
99,53.0
100,51.0
101,53.0
102,53.0
103,52.0
104,65.0
105,44.0
106,48.0
107,62.0
108,45.0
109,47.0
110,53.0
111,49.0
112,47.0
113,44.0
114,56.0
115,61.0
116,49.0
117,59.0
118,57.0
119,49.0
120,44.0
121,45.0
122,45.0
123,49.0
124,45.0
125,56.0
126,45.0
127,49.0
128,53.0
129,48.0
130,62.0
131,43.0
132,49.0
133,44.0
134,45.0
135,48.0
136,42.0
137,60.0
138,64.0
