ID,Prediction
1,64
2,72
3,54
4,78
5,69
6,74
7,60
8,55
9,56
10,50
11,34
12,53
13,59
14,36
15,28
16,62
17,27
18,68
19,85
20,83
21,77
22,30
23,67
24,87
25,62
26,47
27,71
28,20
29,24
30,33
31,70
32,36
33,18
34,28
35,23
36,62
37,81
38,83
39,64
40,86
41,43
42,63
43,84
44,34
45,61
46,53
47,42
48,33
49,31
50,70
51,26
52,73
53,23
54,46
55,34
56,83
57,80
58,79
59,20
60,50
61,60
62,82
63,43
64,67
65,15
66,36
67,29
68,30
69,76
70,77
71,86
72,74
73,12
74,19
75,76
76,77
77,51
78,60
79,60
80,30
81,63
82,73
83,86
84,34
85,33
86,81
87,23
88,44
89,32
90,74
91,28
92,61
93,44
94,25
95,65
96,84
97,63
98,83
99,58
100,49
101,49
102,41
103,48
104,110
105,25
106,37
107,82
108,32
109,22
110,61
111,32
112,31
113,15
114,74
115,88
116,36
117,72
118,69
119,38
120,26
121,34
122,23
123,33
124,37
125,67
126,32
127,42
128,47
129,32
130,79
131,17
132,38
133,21
134,27
135,20
136,14
137,84
138,81
