ID,Prediction
1,71.0
2,72.0
3,63.0
4,77.0
5,68.0
6,71.0
7,69.0
8,58.0
9,51.0
10,55.0
11,36.0
12,52.0
13,60.0
14,40.0
15,27.0
16,70.0
17,24.0
18,66.0
19,90.0
20,92.0
21,71.0
22,27.0
23,75.0
24,84.0
25,70.0
26,45.0
27,79.0
28,16.0
29,16.0
30,33.0
31,76.0
32,37.0
33,21.0
34,29.0
35,17.0
36,63.0
37,76.0
38,75.0
39,73.0
40,96.0
41,48.0
42,58.0
43,88.0
44,32.0
45,72.0
46,56.0
47,42.0
48,29.0
49,31.0
50,68.0
51,21.0
52,68.0
53,19.0
54,47.0
55,38.0
56,83.0
57,89.0
58,88.0
59,21.0
60,52.0
61,65.0
62,87.0
63,43.0
64,61.0
65,19.0
66,38.0
67,24.0
68,24.0
69,77.0
70,76.0
71,86.0
72,76.0
73,14.0
74,22.0
75,74.0
76,84.0
77,54.0
78,67.0
79,64.0
80,29.0
81,64.0
82,74.0
83,77.0
84,31.0
85,32.0
86,79.0
87,26.0
88,45.0
89,24.0
90,77.0
91,27.0
92,61.0
93,49.0
94,24.0
95,66.0
96,69.0
97,65.0
98,89.0
99,60.0
100,39.0
101,44.0
102,43.0
103,58.0
104,65.0
105,24.0
106,43.0
107,80.0
108,30.0
109,22.0
110,68.0
111,26.0
112,30.0
113,7.0
114,80.0
115,90.0
116,32.0
117,70.0
118,75.0
119,39.0
120,14.0
121,34.0
122,22.0
123,27.0
124,33.0
125,66.0
126,34.0
127,44.0
128,48.0
129,31.0
130,79.0
131,14.0
132,37.0
133,15.0
134,23.0
135,17.0
136,9.0
137,81.0
138,83.0
