ID,Prediction
1,69.0
2,72.0
3,60.0
4,77.0
5,69.0
6,72.0
7,69.0
8,60.0
9,52.0
10,54.0
11,35.0
12,53.0
13,59.0
14,39.0
15,27.0
16,67.0
17,25.0
18,66.0
19,89.0
20,91.0
21,73.0
22,28.0
23,74.0
24,86.0
25,68.0
26,46.0
27,76.0
28,17.0
29,18.0
30,34.0
31,76.0
32,36.0
33,20.0
34,29.0
35,19.0
36,64.0
37,78.0
38,79.0
39,70.0
40,94.0
41,46.0
42,61.0
43,88.0
44,32.0
45,68.0
46,54.0
47,42.0
48,30.0
49,32.0
50,68.0
51,22.0
52,70.0
53,20.0
54,47.0
55,37.0
56,83.0
57,89.0
58,87.0
59,21.0
60,50.0
61,62.0
62,86.0
63,43.0
64,64.0
65,19.0
66,38.0
67,25.0
68,26.0
69,78.0
70,77.0
71,86.0
72,75.0
73,13.0
74,20.0
75,76.0
76,81.0
77,54.0
78,65.0
79,63.0
80,29.0
81,65.0
82,74.0
83,81.0
84,32.0
85,32.0
86,80.0
87,25.0
88,45.0
89,26.0
90,75.0
91,27.0
92,61.0
93,48.0
94,24.0
95,66.0
96,73.0
97,65.0
98,89.0
99,59.0
100,42.0
101,45.0
102,41.0
103,54.0
104,77.0
105,23.0
106,41.0
107,82.0
108,31.0
109,20.0
110,67.0
111,27.0
112,30.0
113,9.0
114,78.0
115,87.0
116,34.0
117,72.0
118,74.0
119,38.0
120,17.0
121,35.0
122,23.0
123,29.0
124,33.0
125,67.0
126,34.0
127,43.0
128,47.0
129,31.0
130,78.0
131,16.0
132,38.0
133,17.0
134,25.0
135,17.0
136,11.0
137,82.0
138,82.0
