ID,Prediction,alpha:,0.1
1,63
2,70
3,52
4,72
5,62
6,70
7,55
8,51
9,56
10,47
11,29
12,54
13,62
14,40
15,31
16,59
17,31
18,69
19,80
20,80
21,80
22,28
23,65
24,87
25,60
26,48
27,71
28,18
29,24
30,33
31,68
32,32
33,19
34,28
35,23
36,63
37,76
38,74
39,64
40,79
41,49
42,63
43,81
44,42
45,59
46,56
47,46
48,34
49,27
50,64
51,27
52,72
53,22
54,51
55,27
56,82
57,70
58,82
59,20
60,56
61,64
62,79
63,45
64,60
65,16
66,38
67,33
68,29
69,74
70,76
71,82
72,74
73,15
74,21
75,73
76,70
77,48
78,63
79,63
80,36
81,68
82,71
83,86
84,39
85,30
86,82
87,29
88,49
89,33
90,74
91,27
92,63
93,47
94,24
95,66
96,82
97,62
98,84
99,56
100,45
101,48
102,50
103,46
104,93
105,27
106,37
107,80
108,30
109,29
110,61
111,35
112,30
113,20
114,72
115,87
116,40
117,71
118,70
119,39
120,22
121,32
122,23
123,37
124,32
125,66
126,30
127,41
128,48
129,36
130,79
131,25
132,39
133,22
134,28
135,28
136,15
137,77
138,83
