1 ; 1103.64 ; 475449 ; 369174
2 ; 1173.78 ; 432819 ; 321584
3 ; 1103.08 ; 538340 ; 346572
4 ; 1237.18 ; 389467 ; 347384
5 ; 1058.49 ; 586516 ; 379816
6 ; 1204.58 ; 434446 ; 323866
7 ; 1078.4 ; 565223 ; 379812
8 ; 1102.8 ; 555620 ; 367844
9 ; 1161.32 ; 481699 ; 383408
10 ; 1086.04 ; 570628 ; 337788
11 ; 1099.72 ; 572921 ; 345622
12 ; 1202.48 ; 439618 ; 344682
13 ; 1060.35 ; 542469 ; 360310
14 ; 1162.76 ; 492383 ; 350742
15 ; 1172.08 ; 448669 ; 325546
16 ; 1162.76 ; 516144 ; 337396
18 ; 1148.25 ; 523855 ; 348404
19 ; 1063.14 ; 593850 ; 378890
20 ; 1161.56 ; 416404 ; 312880
21 ; 1022.66 ; 609505 ; 383296
22 ; 1050.68 ; 579316 ; 371972
23 ; 1018.58 ; 617619 ; 380124
24 ; 1101.4 ; 573849 ; 362280
25 ; 1036.01 ; 590075 ; 377950
26 ; 1047.48 ; 574979 ; 357704
27 ; 1047.8 ; 616419 ; 349576
28 ; 1206.47 ; 445665 ; 344040
29 ; 1065.62 ; 594084 ; 360936
30 ; 1017.56 ; 647196 ; 356788
31 ; 1207.1 ; 445179 ; 339082
32 ; 1247.0 ; 390991 ; 339536
33 ; 1229.2 ; 440098 ; 327932
34 ; 1079.0 ; 575461 ; 374084
35 ; 1044.6 ; 596009 ; 377690
36 ; 1062.21 ; 560028 ; 365276
37 ; 1201.01 ; 454795 ; 323304
38 ; 1137.08 ; 493398 ; 346358
39 ; 1091.26 ; 553001 ; 387028
40 ; 1077.2 ; 587225 ; 373034
41 ; 1175.85 ; 457299 ; 337598
42 ; 1092.13 ; 532942 ; 337138
43 ; 1006.9 ; 640510 ; 380836
44 ; 1074.8 ; 557346 ; 356002
45 ; 1187.26 ; 406172 ; 290492
46 ; 1048.12 ; 609132 ; 355522
47 ; 1132.92 ; 494991 ; 349578
48 ; 1137.08 ; 466595 ; 345550
49 ; 1206.05 ; 399315 ; 313230
50 ; 1088.65 ; 558790 ; 351696
51 ; 1064.38 ; 575549 ; 368886
52 ; 1136.04 ; 528790 ; 352842
53 ; 1076.9 ; 578925 ; 365182
54 ; 1079.0 ; 584145 ; 380626
55 ; 1172.4 ; 486932 ; 354796
56 ; 1202.9 ; 439219 ; 318164
57 ; 1026.06 ; 593296 ; 364296
58 ; 1063.45 ; 561052 ; 373766
59 ; 1235.09 ; 411120 ; 305248
60 ; 1101.12 ; 552992 ; 359288
61 ; 1074.5 ; 558968 ; 405780
62 ; 1089.23 ; 583447 ; 363018
63 ; 1008.3 ; 669656 ; 386142
64 ; 1189.24 ; 435616 ; 308444
65 ; 1243.4 ; 421097 ; 303176
67 ; 1136.04 ; 512688 ; 337856
68 ; 1026.06 ; 606485 ; 373866
69 ; 1205.21 ; 431711 ; 337118
70 ; 1083.43 ; 594164 ; 365984
71 ; 1184.18 ; 420164 ; 282994
74 ; 1072.7 ; 589976 ; 349362
75 ; 1026.06 ; 637908 ; 399810
76 ; 1188.58 ; 454675 ; 303852
77 ; 1069.03 ; 555896 ; 388578
78 ; 1263.04 ; 409458 ; 305104
79 ; 1093.58 ; 553368 ; 373604
80 ; 1131.62 ; 528641 ; 370180
81 ; 1071.5 ; 574042 ; 381678
82 ; 1025.04 ; 601236 ; 385766
83 ; 1024.02 ; 646094 ; 385062
84 ; 1061.59 ; 594836 ; 362606
85 ; 1071.2 ; 591570 ; 353896
86 ; 1087.2 ; 541934 ; 356148
87 ; 1148.75 ; 460270 ; 303580
88 ; 1045.25 ; 626828 ; 360882
89 ; 1206.05 ; 406915 ; 279706
90 ; 1262.02 ; 303241 ; 233106
91 ; 1072.7 ; 611458 ; 378768
92 ; 1088.65 ; 549294 ; 346220
93 ; 1108.68 ; 520688 ; 350958
94 ; 1045.56 ; 628861 ; 363016
95 ; 1095.61 ; 553294 ; 344886
96 ; 1076.9 ; 587093 ; 349398
97 ; 1161.32 ; 486477 ; 369248
98 ; 1121.0 ; 505467 ; 336656
99 ; 1137.08 ; 505289 ; 347192
100 ; 1071.2 ; 611417 ; 385664
101 ; 1102.52 ; 543892 ; 364844
102 ; 1064.69 ; 572855 ; 361192
103 ; 1136.04 ; 547304 ; 364422
104 ; 1084.1 ; 516336 ; 380126
105 ; 1176.77 ; 456295 ; 344812
106 ; 1092.13 ; 588396 ; 352162
107 ; 1033.37 ; 583361 ; 395554
108 ; 1048.76 ; 634741 ; 372480
109 ; 1206.05 ; 401908 ; 310158
110 ; 1115.6 ; 554215 ; 347474
