ID,Prediction,alpha:,0.1
1,73
2,67
3,67
4,82
5,66
6,70
7,67
8,59
9,46
10,56
11,37
12,51
13,60
14,43
15,27
16,68
17,24
18,65
19,88
20,91
21,65
22,27
23,71
24,85
25,73
26,46
27,77
28,17
29,11
30,30
31,77
32,35
33,22
34,29
35,17
36,59
37,77
38,68
39,76
40,97
41,56
42,56
43,84
44,32
45,76
46,54
47,43
48,30
49,30
50,71
51,22
52,67
53,19
54,43
55,36
56,86
57,93
58,86
59,20
60,42
61,65
62,85
63,43
64,55
65,18
66,36
67,26
68,22
69,76
70,74
71,85
72,78
73,15
74,24
75,76
76,87
77,56
78,75
79,68
80,27
81,59
82,75
83,73
84,30
85,33
86,81
87,21
88,44
89,23
90,76
91,26
92,61
93,47
94,26
95,68
96,63
97,61
98,93
99,59
100,38
101,44
102,45
103,53
104,84
105,25
106,44
107,79
108,29
109,23
110,69
111,24
112,30
113,11
114,79
115,95
116,33
117,70
118,77
119,38
120,12
121,34
122,21
123,24
124,32
125,67
126,35
127,45
128,46
129,28
130,74
131,9
132,37
133,15
134,24
135,15
136,7
137,76
138,75
