ID,Prediction,alpha:,0.1
1,70
2,72
3,63
4,79
5,64
6,71
7,69
8,55
9,50
10,56
11,35
12,50
13,60
14,42
15,27
16,71
17,23
18,65
19,90
20,93
21,70
22,26
23,76
24,80
25,69
26,43
27,81
28,14
29,14
30,31
31,75
32,37
33,20
34,29
35,15
36,63
37,73
38,73
39,77
40,97
41,49
42,53
43,87
44,32
45,77
46,57
47,42
48,28
49,29
50,61
51,19
52,65
53,17
54,46
55,38
56,83
57,86
58,87
59,21
60,55
61,68
62,88
63,42
64,58
65,19
66,37
67,22
68,21
69,74
70,75
71,87
72,77
73,14
74,23
75,72
76,87
77,54
78,68
79,64
80,29
81,65
82,71
83,72
84,29
85,32
86,78
87,26
88,44
89,22
90,78
91,26
92,61
93,49
94,24
95,64
96,70
97,64
98,88
99,59
100,37
101,43
102,46
103,61
104,65
105,24
106,43
107,78
108,28
109,23
110,68
111,24
112,31
113,6
114,82
115,95
116,30
117,68
118,76
119,41
120,12
121,32
122,21
123,23
124,33
125,63
126,34
127,46
128,50
129,29
130,79
131,11
132,37
133,14
134,20
135,17
136,7
137,80
138,82
