ID,Prediction,alpha:,0.001
1,74
2,74
3,70
4,80
5,63
6,64
7,68
8,54
9,45
10,52
11,37
12,50
13,63
14,39
15,29
16,75
17,24
18,65
19,82
20,97
21,66
22,24
23,70
24,75
25,71
26,43
27,81
28,11
29,10
30,28
31,71
32,39
33,22
34,28
35,16
36,63
37,70
38,64
39,81
40,99
41,54
42,47
43,87
44,36
45,83
46,57
47,41
48,29
49,30
50,79
51,17
52,65
53,16
54,47
55,40
56,81
57,93
58,86
59,19
60,58
61,74
62,86
63,43
64,42
65,20
66,43
67,22
68,22
69,71
70,68
71,84
72,77
73,15
74,26
75,68
76,86
77,58
78,74
79,62
80,29
81,57
82,68
83,62
84,29
85,35
86,80
87,21
88,46
89,24
90,79
91,26
92,64
93,48
94,26
95,61
96,48
97,64
98,83
99,63
100,38
101,45
102,50
103,60
104,25
105,26
106,46
107,75
108,28
109,21
110,74
111,22
112,30
113,9
114,84
115,90
116,31
117,64
118,74
119,44
120,7
121,33
122,24
123,24
124,34
125,65
126,34
127,47
128,54
129,30
130,74
131,8
132,37
133,13
134,20
135,14
136,4
137,80
138,88
